Description,Time,CoPx,CoPy
ECL1,0.0,0.00011623880809808955,0.03442914677787283
ECL1,1.0,-0.00018337047762047762,0.035810133883883884
ECL1,2.0,-3.357328385899816e-05,0.03599724507635222
ECL1,3.0,-0.0004678215715715716,0.03480794934219934
ECL1,4.0,-0.001034258313115456,0.03500032424718139
ECL1,5.0,-0.00021989893464893464,0.03497508065208065
ECL1,6.0,-9.742115027829315e-06,0.03527218991722563
ECL1,7.0,-0.0003047092807092807,0.036132995745745744
ECL1,8.0,-0.00025000824175824176,0.03686077226345083
ECL1,9.0,0.00042616312741312743,0.03806958104533105
ECL1,10.0,-0.0002721967675181961,0.039397790138432996
ECL1,11.0,0.001000794473044473,0.03809948555698556
ECL1,12.0,0.0007254609319252176,0.03679558912516055
ECL1,13.0,0.0007088431645931645,0.037257297905047906
ECL1,14.0,0.0005338753389467675,0.03772485810617954
ECL1,15.0,0.0002457538252538252,0.03640275900900901
ECL1,16.0,0.00014177276295133438,0.036351915655772796
ECL1,17.0,0.00029072980122980124,0.03757218400543401
ECL1,18.0,0.00041561138861138865,0.0379637314114457
ECL1,19.0,0.00048772125697125703,0.03780581906906907
ECL1,20.0,0.0004737980590837734,0.03666457767232767
ECL1,21.0,0.002789629987129987,0.03663869047619048
ECL1,22.0,0.00203474272156415,0.037293538425859855
ECL1,23.0,0.0009055770055770056,0.037428030316030314
ECL1,24.0,0.0011844935421721136,0.03797205187669474
ECL1,25.0,0.0010849655012155012,0.0391488751966252
ECL1,26.0,0.0007159791636934495,0.03653162855002141
ECL1,27.0,0.0007794412626912626,0.03715797711997712
ECL1,28.0,0.0012116471385757099,0.037156036142428996
ECL1,29.0,0.0014075999213499213,0.035396694587444585
ECL1,30.0,0.0009428611388611389,0.03512156800342515
ECL1,31.0,0.0011841192263692263,0.036252931967681964
ECL1,32.0,0.0010003096546310833,0.0364904889753104
ECL1,33.0,0.001074554912054912,0.036347593343343344
ECL1,34.0,0.0007669936135293278,0.03787868003425146
ECL1,35.0,0.0006981160803660804,0.03694049385099386
ECL1,36.0,0.0005102870343941773,0.036468114671043245
ECL1,37.0,0.000529696660946661,0.035257886958386955
ECL1,38.0,0.0008451741829598972,0.03479557267732268
ECL1,39.0,0.0008422824967824967,0.03347531138281138
ECL1,40.0,0.0006777116454973598,0.03372181290138433
ECL1,41.0,0.00041406309881309876,0.03312369151294151
ECL1,42.0,0.0009856117453974596,0.03563888240331098
ECL1,43.0,0.0012466988774488775,0.03604717067067067
ECL1,44.0,0.0012592994505494506,0.03555027886399315
ECL1,45.0,0.000866244851994852,0.03578533751608752
ECL1,46.0,0.000834808619951477,0.03517543085485943
ECL1,47.0,0.000861535178035178,0.03477167574717575
ECL1,48.0,0.001079069894391323,0.033767203082631654
ECL1,49.0,0.0006727376304876305,0.034383733983983984
ECL1,50.0,0.000641938383045526,0.034512622556015414
ECL1,51.0,0.0006500223437723437,0.035301275990275986
ECL1,52.0,0.0008787883901812473,0.03474276023976024
ECL1,53.0,0.0006561606964106965,0.0331855286000286
ECL1,54.0,0.0003221928071928072,0.03352703143285286
ECL1,55.0,0.0020813647576147574,0.03486767563992564
ECL1,56.0,0.0018366179534750964,0.03738751298701299
ECL1,57.0,0.001291305627055627,0.035101482375232376
ECL1,58.0,0.0012765657199942915,0.034086031397174255
ECL1,59.0,0.0014280795795795795,0.034696001751751755
ECL1,60.0,0.0008698242498030509,0.03540810721191721
ECL2,0.0,0.0022607225548902194,0.030298102366695178
ECL2,1.0,0.001969204668954669,0.029332661339911338
ECL2,2.0,0.0015775683602112173,0.030292000749250748
ECL2,3.0,0.0021247488202488203,0.030576511297011295
ECL2,4.0,0.002435301626944484,0.030204891893820467
ECL2,5.0,0.003089374696124696,0.03132985893035893
ECL2,6.0,0.0033089449479092336,0.032431384258598546
ECL2,7.0,0.004165458601458602,0.03209005577005577
ECL2,8.0,0.003955425931211645,0.03159178671328671
ECL2,9.0,0.0025658190333190333,0.030945569140569142
ECL2,10.0,0.002985276723276723,0.03214283477237048
ECL2,11.0,0.0034251823251823252,0.033440856964106966
ECL2,12.0,0.0030847970957613817,0.03434543809761667
ECL2,13.0,0.003203019448019448,0.032350241312741314
ECL2,14.0,0.003133036499215071,0.03191729527615242
ECL2,15.0,0.002886783426283426,0.0319381636994137
ECL2,16.0,0.0026784654987869272,0.031087098472955616
ECL2,17.0,0.002739217538967539,0.031019262262262263
ECL2,18.0,0.002706034929356358,0.0318288629584701
ECL2,19.0,0.002587642034892035,0.03190182982982983
ECL2,20.0,0.003068253460824889,0.031791647959183676
ECL2,21.0,0.00264483983983984,0.03147115887315887
ECL2,22.0,0.0026771679035250463,0.030382020871985157
ECL2,23.0,0.0032477233662233664,0.03031508487058487
ECL2,24.0,0.0029152930284001713,0.03161492742971315
ECL2,25.0,0.0029224515587015585,0.03128963885313885
ECL2,26.0,0.0027799064150135578,0.03165990256172399
ECL2,27.0,0.002367573788073788,0.030420053017303016
ECL2,28.0,0.0023510647923505068,0.03178602939917226
ECL2,29.0,0.002669369297869298,0.031462887601887604
ECL2,30.0,0.0020124979306407878,0.028040705330383903
ECL2,31.0,0.0022121827184327183,0.029132206956956955
ECL2,32.0,0.0021718768374482662,0.031606774725274726
ECL2,33.0,0.0019439114114114114,0.032603817281567284
ECL2,34.0,0.002233188418724133,0.03194647498929642
ECL2,35.0,0.0022339305376805375,0.031192875303875305
ECL2,36.0,0.0019253071214499786,0.03153959811616954
ECL2,37.0,0.0022125866223366222,0.031846196946946945
ECL2,38.0,0.0019056816397887825,0.03299182456828885
ECL2,39.0,0.001823436793936794,0.033058794616044614
ECL2,40.0,0.0020799216141001854,0.03255142179249322
ECL2,41.0,0.0011495031817531818,0.0324231542971543
ECL2,42.0,0.0010262871771086056,0.03284060118452976
ECL2,43.0,0.0014244766194766196,0.03305328653653654
ECL2,44.0,0.0020492327315541604,0.03320281539888683
ECL2,45.0,0.002122597990847991,0.03198284026884027
ECL2,46.0,0.0020942202440416727,0.03227965334665334
ECL2,47.0,0.0011367651222651224,0.03125536511511512
ECL2,48.0,0.0014499745968317396,0.031029851684030257
ECL2,49.0,0.0021508388388388386,0.032229379701129705
ECL2,50.0,0.0015037827886399315,0.033538038318824036
ECL2,51.0,0.001387981946231946,0.03174975128700129
ECL2,52.0,0.001836697445411731,0.031188077137148565
ECL2,53.0,0.00164486986986987,0.0270321721006721
ECL2,54.0,0.0010626020764949336,0.027576283502212074
ECL2,55.0,0.0018539089804089806,0.02925863295438295
ECL2,56.0,0.0037498509704581135,0.030031776687598117
ECL2,57.0,0.002842338517088517,0.03054459984984985
ECL2,58.0,0.002414860639360639,0.03178934979306408
ECL2,59.0,0.0019909336836836837,0.03161561078936079
ECL2,60.0,0.0016333621319578767,0.03285746314205889
ECN,0.0,-0.0015636097804391218,0.027942131023666952
ECN,1.0,-0.001211474796224796,0.02686697865722866
ECN,2.0,-0.0011183274939346368,0.027347209683173966
ECN,3.0,-0.0009017878592878593,0.02767446625196625
ECN,4.0,-0.0012079805194805196,0.027443962073640648
ECN,5.0,-0.00127385582010582,0.027197344594594598
ECN,6.0,-0.0012681466390752104,0.027219792707292707
ECN,7.0,-0.00091121567996568,0.028193603532103532
ECN,8.0,-0.0007098261381475667,0.026240970743542175
ECN,9.0,-0.0011973862791362791,0.02640231066781067
ECN,10.0,-0.0011080290423861852,0.0268622017982018
ECN,11.0,-0.0008224567067067068,0.028004322715572714
ECN,12.0,-0.000631449407735122,0.027365272655915516
ECN,13.0,-0.0006762068497068496,0.026911248248248247
ECN,14.0,-0.0009321317254174397,0.026888373697730842
ECN,15.0,-0.0008002257257257257,0.026050660767910766
ECN,16.0,-0.001013692450406736,0.02628329363493649
ECN,17.0,-0.0005110706420706421,0.027025520341770342
ECN,18.0,-0.0007539804481233052,0.02650641255173398
ECN,19.0,-0.0006136133633633634,0.02797264389389389
ECN,20.0,-0.00030120697159982874,0.028377732909947193
ECN,21.0,-0.0025168655441155444,0.028486960102960104
ECN,22.0,0.0008283877194234337,0.028759025438846866
ECN,23.0,-0.0010567581152581152,0.028471611254111254
ECN,24.0,-0.0010673326673326673,0.028754025831311543
ECN,25.0,-0.001314387709137709,0.028759312205062205
ECN,26.0,-0.0010020027115741402,0.02885497762951334
ECN,27.0,-0.000760826648076648,0.029045866974116975
